Contact Name,ID,ID Type,TS Override
Sofia,2842,Group,2
Plovdiv,2843,Group,2
Turkey 0.Region,2860,Group,2
Turkey 1.Region,2861,Group,2
EmComm,2940,Group,2
Skopje,2941,Group,2
Tetovo,2942,Group,2
Gostivar,2943,Group,2
Kicevo,2944,Group,2
Struga,2945,Group,2
Ohrid,2946,Group,2
Kumanovo,2947,Group,2
Prilep,2948,Group,2
Strumica,2949,Group,2
Nfld Pei,3020,Group,2
Nova Scotia,3021,Group,2
Quebec,3022,Group,2
Ontario,3023,Group,2
Manitoba,3024,Group,2
Saskatchewan,3025,Group,2
Alberta,3026,Group,2
British Columbia,3027,Group,2
Yukon & NWT,3028,Group,2
New Brunswick,3029,Group,2
USA Bridge,3100,Group,2
Alabama -,3101,Group,2
Alaska -,3102,Group,2
Arizona -,3104,Group,2
Arkansas -,3105,Group,2
California -,3106,Group,2
Colorado -,3108,Group,2
Connecticut -,3109,Group,2
Delaware -,3110,Group,2
D.C. -,3111,Group,2
Florida -,3112,Group,2
Georgia -,3113,Group,2
Hawaii -,3115,Group,2
Idaho -,3116,Group,2
Illinois -,3117,Group,2
Indiana -,3118,Group,2
Iowa -,3119,Group,2
Kansas -,3120,Group,2
Kentucky -,3121,Group,2
Louisiana -,3122,Group,2
Maine -,3123,Group,2
Maryland -,3124,Group,2
Massachusetts -,3125,Group,2
Michigan -,3126,Group,2
Minnesota -,3127,Group,2
Mississippi -,3128,Group,2
Missouri -,3129,Group,2
Montana -,3130,Group,2
Nebraska -,3131,Group,2
Nevada -,3132,Group,2
New Hampshire -,3133,Group,2
New Jersey -,3134,Group,2
New Mexico -,3135,Group,2
New York -,3136,Group,2
North Carolina -,3137,Group,2
North Dakota -,3138,Group,2
Ohio -,3139,Group,2
Oklahoma -,3140,Group,2
Oregon -,3141,Group,2
Pennsylvania -,3142,Group,2
Rhode Island -,3144,Group,2
South Carolina -,3145,Group,2
South Dakota -,3146,Group,2
Tennessee -,3147,Group,2
Texas -,3148,Group,2
Utah -,3149,Group,2
